,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2009-1-1,66.58 %,100 %,85.96 %,NULL,NULL,81.61 %,98.4 %,72.17 %,NULL,84.64 %,80.69 %,100 %,2.31 %,90.65 %,77.87 %,75.9 %,NULL,92.89 %
2009-1-2,66.17 %,100 %,85.63 %,NULL,NULL,81.5 %,98.43 %,71.72 %,NULL,84.16 %,80.43 %,100 %,2.05 %,90.85 %,78.51 %,75.5 %,NULL,92.71 %
2009-1-3,65.68 %,100 %,85.3 %,NULL,NULL,81.38 %,98.47 %,71.22 %,NULL,83.65 %,80.09 %,100 %,2.47 %,90.65 %,78.73 %,75.1 %,NULL,92.46 %
2009-1-4,65.11 %,100 %,84.98 %,NULL,NULL,81.27 %,98.5 %,70.78 %,NULL,83.07 %,79.58 %,100 %,2.26 %,90.38 %,78.68 %,74.7 %,NULL,92.15 %
2009-1-5,64.54 %,100 %,84.67 %,NULL,NULL,81.17 %,98.53 %,70.38 %,NULL,82.66 %,79.45 %,100 %,1.95 %,90.69 %,78.71 %,74.7 %,NULL,91.83 %
2009-1-6,63.97 %,99.77 %,84.35 %,NULL,NULL,81.06 %,98.6 %,69.92 %,NULL,82.36 %,79.19 %,100 %,2.05 %,90.38 %,80.24 %,74.3 %,NULL,91.51 %
2009-1-7,63.33 %,99.25 %,84.14 %,NULL,NULL,80.95 %,98.63 %,69.38 %,NULL,81.48 %,79.06 %,100 %,2.68 %,90.26 %,83.28 %,73.9 %,NULL,91.02 %
2009-1-8,62.68 %,98.78 %,83.97 %,NULL,NULL,80.83 %,98.66 %,68.83 %,NULL,80.88 %,78.94 %,100 %,1.56 %,90.22 %,85.78 %,NULL,NULL,90.71 %
2009-1-9,62.12 %,97.45 %,83.8 %,NULL,NULL,80.72 %,98.66 %,68.24 %,NULL,80.19 %,78.81 %,100 %,2.53 %,90.22 %,86.63 %,73.5 %,NULL,90.35 %
2009-1-10,61.55 %,97.11 %,83.6 %,NULL,NULL,80.49 %,98.69 %,67.56 %,NULL,79.59 %,78.6 %,100 %,2.79 %,90.26 %,86.86 %,72.97 %,NULL,89.9 %
2009-1-11,60.91 %,96.68 %,83.37 %,NULL,NULL,80.38 %,98.73 %,66.92 %,NULL,79 %,78.38 %,100 %,2.65 %,90.26 %,86.76 %,72.57 %,NULL,89.62 %
2009-1-12,60.27 %,96.01 %,83.19 %,NULL,NULL,80.16 %,98.79 %,66.33 %,NULL,78.3 %,78.17 %,100 %,2.53 %,90.06 %,86.66 %,72.17 %,NULL,89.3 %
2009-1-13,59.55 %,95.5 %,83.11 %,NULL,NULL,79.94 %,98.79 %,65.7 %,NULL,77.72 %,77.96 %,100 %,1.72 %,89.87 %,86.45 %,71.77 %,NULL,88.61 %
2009-1-14,58.92 %,95.11 %,83.04 %,NULL,NULL,79.72 %,98.82 %,65.06 %,NULL,77.04 %,77.71 %,100 %,2.38 %,89.56 %,86.19 %,71.37 %,NULL,87.99 %
2009-1-15,58.28 %,94.39 %,82.97 %,NULL,NULL,79.61 %,98.86 %,64.48 %,NULL,76.47 %,77.46 %,100 %,2.34 %,89.2 %,85.83 %,71.37 %,NULL,87.64 %
2009-1-16,57.73 %,93.8 %,82.87 %,NULL,NULL,79.44 %,98.89 %,63.84 %,NULL,75.8 %,77.2 %,100 %,2.58 %,88.7 %,85.52 %,70.97 %,NULL,87.23 %
2009-1-17,57.02 %,93.34 %,82.73 %,NULL,NULL,79.22 %,98.96 %,63.2 %,NULL,75.13 %,77.08 %,100 %,2.69 %,88.12 %,85.17 %,70.3 %,NULL,86.89 %
2009-1-18,56.47 %,92.85 %,82.6 %,NULL,NULL,78.99 %,98.96 %,62.57 %,NULL,73.97 %,76.91 %,100 %,2.49 %,82.84 %,84.78 %,69.9 %,NULL,86.78 %
2009-1-19,55.84 %,92.35 %,82.46 %,NULL,NULL,78.77 %,98.43 %,61.98 %,NULL,72.72 %,76.62 %,100 %,2.62 %,86.85 %,84.37 %,69.9 %,NULL,86.54 %
