,仁義潭水庫,南化水庫,寶山第二水庫,德基水庫,日月潭水庫,明德水庫,曾文水庫,永和山水庫,湖山水庫,烏山頭水庫,牡丹水庫,白河水庫,石岡壩,石門水庫,翡翠水庫,阿公店水庫,霧社水庫,鯉魚潭水庫
2015-1-1,54.11 %,68.16 %,49.94 %,73.44 %,97.12 %,28.77 %,55.87 %,52.2 %,NULL,53.75 %,64.17 %,25.9 %,17.03 %,55.67 %,92.18 %,94.93 %,69.93 %,53.15 %
2015-1-2,53.79 %,67.69 %,49.71 %,73.66 %,97.18 %,28.55 %,55.9 %,51.76 %,NULL,52.96 %,63.86 %,25.76 %,16.02 %,55.28 %,92.11 %,93.9 %,71.08 %,53.08 %
2015-1-3,53.48 %,67.25 %,49.44 %,73.51 %,96.06 %,28.43 %,55.93 %,51.35 %,NULL,52.27 %,63.56 %,25.47 %,19.29 %,55.13 %,91.71 %,93.21 %,72.24 %,52.91 %
2015-1-4,53.17 %,66.83 %,49.18 %,73.73 %,95.56 %,28.26 %,55.96 %,50.89 %,NULL,51.49 %,63.25 %,25.18 %,20.05 %,54.95 %,91.5 %,93.04 %,73.42 %,52.73 %
2015-1-5,52.78 %,66.41 %,48.73 %,73.93 %,98 %,28.1 %,55.54 %,50.43 %,NULL,50.73 %,62.98 %,24.89 %,20.61 %,54.12 %,91.26 %,92.01 %,74.6 %,52.47 %
2015-1-6,52.39 %,65.99 %,48.33 %,73.89 %,97 %,27.93 %,55.57 %,49.97 %,NULL,52.43 %,62.68 %,24.6 %,23.04 %,53.71 %,91.02 %,91.16 %,74.84 %,52.27 %
2015-1-7,52 %,65.53 %,47.88 %,73.95 %,96.12 %,27.74 %,55.6 %,49.51 %,NULL,51.65 %,62.42 %,23.44 %,24.89 %,53.15 %,90.84 %,90.82 %,76.65 %,51.97 %
2015-1-8,51.61 %,65.06 %,47.47 %,73.35 %,95.44 %,27.55 %,55.63 %,49.01 %,NULL,50.89 %,62.08 %,22.29 %,24.69 %,52.8 %,90.55 %,90.15 %,77.41 %,51.85 %
2015-1-9,51.31 %,64.64 %,47.06 %,72.77 %,94.01 %,27.37 %,55.66 %,48.47 %,NULL,50.14 %,61.74 %,21.13 %,100 %,52.66 %,90.28 %,89.3 %,78.52 %,51.56 %
2015-1-10,51 %,64.18 %,46.79 %,73.33 %,94.38 %,27.13 %,55.69 %,47.97 %,NULL,49.37 %,61.4 %,19.97 %,100 %,51.9 %,89.97 %,88.46 %,79.39 %,51.31 %
2015-1-11,50.61 %,63.72 %,46.47 %,73.48 %,93.88 %,26.95 %,55.72 %,47.49 %,NULL,48.55 %,61.07 %,18.81 %,58.08 %,51.79 %,89.6 %,88.13 %,80.26 %,51.04 %
2015-1-12,50.34 %,63.21 %,46.14 %,73.46 %,96.06 %,26.71 %,55.72 %,47.02 %,NULL,47.73 %,60.85 %,17.65 %,19.29 %,51.22 %,89.34 %,87.12 %,81.08 %,50.56 %
2015-1-13,49.76 %,62.72 %,45.69 %,73.48 %,94.57 %,26.53 %,55.22 %,46.54 %,NULL,47.01 %,60.51 %,16.5 %,20.42 %,50.79 %,89.73 %,86.46 %,81.81 %,50.46 %
2015-1-14,49.38 %,62.27 %,45.38 %,73.62 %,93.14 %,26.53 %,54.63 %,46.23 %,NULL,50.46 %,60.33 %,15.48 %,20.94 %,50.45 %,89.81 %,85.96 %,82.58 %,50.1 %
2015-1-15,49.07 %,61.86 %,45.15 %,73.57 %,92.52 %,26.53 %,54.68 %,45.8 %,NULL,52.61 %,60.11 %,14.33 %,20.79 %,49.94 %,89.73 %,85.46 %,82.48 %,49.84 %
2015-1-16,48.77 %,61.46 %,44.75 %,73.19 %,92.33 %,26.48 %,54.71 %,45.37 %,NULL,51.83 %,59.85 %,13.17 %,22.49 %,49.58 %,89.57 %,85.13 %,82.48 %,49.51 %
2015-1-17,48.39 %,60.97 %,44.35 %,72.88 %,92.21 %,26.34 %,54.74 %,44.89 %,NULL,51.06 %,59.6 %,12.01 %,22.84 %,49.22 %,89.31 %,84.47 %,82.17 %,49.25 %
